Tilda UID;Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;Price Old;Editions;Modifications;External ID;Parent UID;Characteristics:Модель;Characteristics:Операционная система;Characteristics:Материал корпуса;Characteristics:Количество SIM-карт;Characteristics:Тип экрана;Characteristics:Диагональ;Characteristics:Размер изображения;Characteristics:Число пикселей на дюйм (PPI);Characteristics:Соотношение сторон;Characteristics:Тыловая камера;Characteristics:Тип корпуса;Characteristics:Тип дисплея;Characteristics:Яркость;Characteristics:Звук;Characteristics:Макс. время работы;Characteristics:Класс водонепроницаемости;Characteristics:Материал ремешка;Characteristics:Вид;Characteristics:Тип;Characteristics:Количество микрофонов;Characteristics:Вес наушника;Characteristics:Голосовой набор;Characteristics:Ответить/закончить разговор;Characteristics:Время работы;Characteristics:Материал;Characteristics:Активное шумоподавление;Characteristics:Особенности;Characteristics:Комплект поставки;Characteristics:Спецификации;Characteristics:Системные требования;Characteristics:Процессор;Characteristics:Экран;Characteristics:Разрешение;Characteristics:Число пикселей на дюйм;Characteristics:Bluetooth;Characteristics:Встроенные динамики;Characteristics:Технология дисплея;Characteristics:Количество ядер;Characteristics:Объем видеопамяти;Characteristics:Количество Thunderbolt 3 (USB-C);Characteristics:Мощность;Characteristics:Количество режимов;Characteristics:Подробная комплектация;Characteristics:Максимальное разрешение;Characteristics:Тип процессора;Characteristics:Частота процессора;Characteristics:Дополнительная информация;Characteristics:Размер ремешка;Characteristics:Длина;Characteristics:Дисплей;Characteristics:Видеокарта;Characteristics:SIM-карта;Characteristics:SIM-карты;Characteristics:SIM-карт;Characteristics:Емкость аккумулятора;Characteristics:Тип уборки;Characteristics:Тип пылесборника;Characteristics:Объем пылесборника;Characteristics:Тип питания;Characteristics:Емкость аккумулятора в комплекте;Characteristics:Время работы от аккумулятора;Characteristics:Время зарядки аккумулятора;Characteristics:Потребляемая мощность;Characteristics:Мощность всасывания;Characteristics:Насадки в комплекте;Characteristics:Уровень шума;Characteristics:Фильтр тонкой очистки;Characteristics:Насадки;Characteristics:Минимальная частота;Characteristics:Максимальная частота;Characteristics:Суммарная мощность;Characteristics:Диаметр ВЧ-динамика;Characteristics:Количество полос АС;Characteristics:Беспроводные подключение;Characteristics:Питание;Characteristics:Стереосистема;Characteristics:Беспроводные подключения;Characteristics:Сабвуфер;Characteristics:Количество динамиков;Characteristics:ОС;Characteristics:Совместимость с ОС;Characteristics:Форма корпуса часов;Characteristics:Размер корпуса;Characteristics:Тип устройства;Characteristics:Тип акустического оформления;Characteristics:Тип крепления;Characteristics:Система активного шумоподавления;Characteristics:Тип подключения;Characteristics:Чувствительность;Characteristics:Минимальная воспроизводимая частота;Characteristics:Максимальная воспроизводимая частота;Characteristics:Размер;Characteristics:Оперативная память (RAM);Characteristics:Разрешение видеосъемки;Characteristics:Основная камера МПикс;Characteristics:Частота обновления;Characteristics:Полет;Characteristics:Камера;Characteristics:Функции;Characteristics:Управление;Characteristics:Навигационная система;Characteristics:Поддерживаемые ОС;Characteristics:Датчики;Characteristics:Видео;Characteristics:Основная камера;Characteristics:Разъем;Weight;Length;Width;Height
399616635921;;;;iPhone;Apple iPhone 12, 64 ГБ, (PRODUCT)RED;;iPhone;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;;;"product_options:[{""title"":""Цвет"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Объем памяти"",""params"":{""view"":""radio"",""hasColor"":false,""linkImage"":false}},{""title"":""Регион поставки"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;resGLYU0LBmmyYtTEiX1;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
394906109401;;;;;Apple iPhone 12, 64 ГБ, (PRODUCT)RED / Красный / Для другой страны- Красный- 64- Для другой страны;;;;0;123;;"Цвет:Красный #d04740;Объем памяти:64;Регион поставки:Для другой страны";;emp1g84Lk2ayv0sHslck;399616635921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
322568675291;;;;iPhone;Apple iPhone 12, 128 ГБ, (PRODUCT)RED;;iPhone;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;;;"product_options:[{""title"":""Цвет"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Объем памяти"",""params"":{""view"":""radio"",""hasColor"":false,""linkImage"":false}},{""title"":""Регион поставки"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;aLBNIviHj8o5XmjKgnVT;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
245547919401;;;;;Apple iPhone 12, 128 ГБ, (PRODUCT)RED / Красный / Для другой страны- Красный- 128- Для другой страны;;;;0;123;;"Цвет:Красный #d04740;Объем памяти:128;Регион поставки:Для другой страны";;jmJHv9BN2U7h7IdfZjJi;322568675291;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
863138053831;;;;iPhone;Apple iPhone 12, 256 ГБ, (PRODUCT)RED;;iPhone;https://static.tildacdn.com/tild6339-3533-4635-a334-363061656363/iphone_12_red_0.jpeg;0;;;"product_options:[{""title"":""Цвет"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Объем памяти"",""params"":{""view"":""radio"",""hasColor"":false,""linkImage"":false}},{""title"":""Регион поставки"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;XZICz9EEZeELkTKtlJFt;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
137494496801;;;;;Apple iPhone 12, 256 ГБ, (PRODUCT)RED / Красный / Для другой страны- Красный- 256- Для другой страны;;;;0;123;;"Цвет:Красный #d04740;Объем памяти:256;Регион поставки:Для другой страны";;gaI4Hanr6DjsI2GXJJr6;863138053831;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
641510585681;;;;iPhone;Apple iPhone 12, 64 ГБ, Зеленый;;iPhone;https://static.tildacdn.com/tild6264-3761-4938-b539-633931613539/iphone_12_green_0.jpeg;0;;;"product_options:[{""title"":""Цвет"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Объем памяти"",""params"":{""view"":""radio"",""hasColor"":false,""linkImage"":false}},{""title"":""Регион поставки"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;KDcgNt7G3k34ad0odJaz;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
622557625611;;;;;Apple iPhone 12, 64 ГБ, Зеленый / Для другой страны- Зеленый- 64- Для другой страны;;;;0;123;;"Цвет:Зеленый #0d3d04;Объем памяти:64;Регион поставки:Для другой страны";;xI2rP1ItxxptVZmCuVGl;641510585681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
367732928021;;;;iPhone;Apple iPhone 12, 128 ГБ, Зеленый;;iPhone;https://static.tildacdn.com/tild3738-3436-4531-a263-346533623439/iphone_12_green_0.jpeg;0;;;"product_options:[{""title"":""Цвет"",""params"":{""view"":""buttons"",""hasColor"":true,""linkImage"":false}},{""title"":""Объем памяти"",""params"":{""view"":""radio"",""hasColor"":false,""linkImage"":false}},{""title"":""Регион поставки"",""params"":{""view"":""buttons"",""hasColor"":false,""linkImage"":false}}]";;kroAuesd0lot263JkDFX;;iPhone 12;IOS 14;Алюминий;1;OLED, True Tone, сенсорный;6.1 дюйм;2532x1170;460;19.5:9;Двойная 12МП + 12МП;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;162;71;146;7
490121614351;;;;;Apple iPhone 12, 128 ГБ, Зеленый / Для другой страны- Зеленый- 128- Для другой страны;;;;0;123;;"Цвет:Зеленый #0d3d04;Объем памяти:128;Регион поставки:Для другой страны";;JvRzmJZN3vpuZG5vIlEb;367732928021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0
